Kuka_Referential,,,,,,,,,,,,,
conewidth,videoid,x_pos,y_pos,center_xpos,center_ypos,distance(m),correct,incorrect,ambiguous,,,,
45,cone1,0.89,-0.27,0.977,-0.17944,0.1255791129,27,1,2,,,,
45,cone2,0.92,-0.16,0.977,-0.17944,0.06022386238,26,0,4,,,,
45,cone3,1,-0.14,0.977,-0.17944,0.0456564738,27,0,3,,,,
45,cone4,0.98,-0.25,0.977,-0.17944,0.07062374671,28,0,2,,,,
67.5,cone1,0.88,-0.29,0.977,-0.17944,0.1470799565,28,1,1,,,,
67.5,cone2,0.85,-0.12,0.977,-0.17944,0.1402216588,28,1,1,,,,
67.5,cone3,1.02,-0.07,0.977,-0.17944,0.1175844956,26,2,2,,,,
67.5,cone4,1.04,-0.34,0.977,-0.17944,0.1724775742,27,2,1,,,,
90,cone1,0.91,-0.35,0.977,-0.17944,0.1832476838,29,1,0,,,,
90,cone2,0.84,0.01,0.977,-0.17944,0.2337873256,23,3,4,,,,
90,cone3,1.08,-0.04,0.977,-0.17944,0.1733566082,27,1,2,,,,
90,cone4,1.09,-0.39,0.977,-0.17944,0.2389655071,20,2,8,,,,
67.5,put0,1.139325721,-0.1237389772,0.977,-0.17944,0.1716165594,27,1,2,,,,
67.5,put1,0.7938329296,-0.2439710002,0.977,-0.17944,0.1942020228,28,1,1,,,,
67.5,put2,1.088516756,-0.2566683857,0.977,-0.17944,0.135647375,27,2,1,,,,
90,put0,1.182551032,-0.2528374596,0.977,-0.17944,0.2182622597,26,2,2,,,,
90,put1,0.9395050925,-0.002439308,0.977,-0.17944,0.180928475,23,2,5,,,,
Kuka_Spatial,,,,,,,,,,,,,
45,leftbottom1,1.08,0.21,0.97583,0.24404,0.1095906497,14,6,10,,,,
45,leftbottom2,1.04,0.18,0.97583,0.24404,0.09065820702,15,4,11,,,,
45,leftupper1,0.93,0.18,0.97583,0.24404,0.07874966984,25,1,4,,,,
45,leftupper2,0.91,0.2,0.97583,0.24404,0.07920297027,26,1,3,,,,
45,rightupper1,0.91,0.27,0.97583,0.24404,0.07076376545,14,3,13,,,,
45,rightupper2,0.89,0.24,0.97583,0.24404,0.08592502837,21,3,6,,,,
45,rightbottom1,1.02,0.33,0.97583,0.24404,0.09664424711,20,3,7,,,,
45,rightbottom2,1.01,0.38,0.97583,0.24404,0.1401881254,8,14,8,,,,
67.5,leftbottom1,1.05,0.1,0.97583,0.24404,0.1620145379,4,12,14,,,,
67.5,leftbottom2,1.07,0.13,0.97583,0.24404,0.1478956068,7,1,22,,,,
67.5,leftupper1,0.9,0.13,0.97583,0.24404,0.1369500292,11,10,9,,,,
67.5,leftupper2,0.84,0.18,0.97583,0.24404,0.1501696058,27,1,2,,,,
67.5,rightupper1,0.86,0.3,0.97583,0.24404,0.1286394593,10,12,8,,,,
67.5,rightupper2,0.89,0.35,0.97583,0.24404,0.1363609567,6,19,5,,,,
